,title,post_link,glance,offer,fee
0,Chesapeake Bank $100 Savings Bonus ,https://www.doctorofcredit.com/va-only-chesapeake-bank-100-checking-bonus-no-requirements/,"Maximum bonus amount: $100
Availability: VA only
Direct deposit required: No
Additional requirements: None
Hard/soft pull: Unknown
ChexSystems: Unknown
Credit card funding: Unknown
Monthly fees: None
Early account termination fee: Unknown
Household limit: None listed
Expiration date: April 30th, 2020",Chesapeake Bank is offering a bonus of $100 when you open a new savings account. This is for people that have completed the money smart program (see links in the sidebar),"The totally free checking account has no monthly fees to worry aboutI wasn’t able to find a fee schedule, so I’m unsure if there is any early account termination fee or not.Seems like a good deal if it’s a soft pull as there are no real requirements for the bonus. If anybody signs up for an account let us know if it’s a hard or soft pull to open.Hat tip to reader IS250Useful posts regarding bank bonuses:"
1,Arsenal Credit Union $100 Checking Bonus ,https://www.doctorofcredit.com/mo-only-arsenal-credit-union-100-checking-bonus-no-direct-deposit-required/,"Maximum bonus amount: $100
Availability: MO only
Direct deposit required: No
Additional requirements: 10 debit card transactions
Hard/soft pull: Unknown
ChexSystems: Unknown
Credit card funding: Unknown
Monthly fees: None
Early account termination fee: $10, 90 days
Household limit: None
Expiration date: March 31st, 2020","Arsenal Credit Union is offering a bonus of $100 when you open a new checking account and complete the following requirements:
Make at least 10 debit card transactions within 15 days of account opening",This account has no monthly fees to worry aboutThere is an early account termination fee of $10 if the account is closed within 90 days of account openingConsidering this requires no direct deposit and there is no monthly fee I think it’s worth doing if it’s a soft pull to open. If anybody goes for this bonus then please share your experiences in the comments below.Useful posts regarding bank bonuses:
2,The Cooperative Bank $200 Checking Bonus,https://www.doctorofcredit.com/ma-only-the-cooperative-bank-200-checking-bonus/,"Maximum bonus amount: $200
Availability: MA only
Direct deposit required: Yes, two $250+ direct deposits
Additional requirements: Use promo
Hard/soft pull: Unknown
ChexSystems: Unknown
Credit card funding: Unknown
Monthly fees: $10, avoidable
Early account termination fee: $10, six months
Household limit: None listed
Expiration date: February 28th, 2020","The Cooperative Bank is offering a bonus of $200 when you open a new TCB eLife checking bonus when you complete the following requirements:
Use offer code 4321
Make two direct deposits of $250 or more within 90 days.","This account has a $10 monthly fee, this is waived if you’re enrolled in eStatements and a direct depositAccording to the fee schedule there is a $10 fee if the account is closed within 6 months of account openingSeems difficult to keep the account fee free, so might not be worth doing for some people. We also don’t know if it’s a hard or soft pull yet. As always if you go for this deal then please share your experiences in the comments below.Hat tip to reader Pete BUseful posts regarding bank bonuses:"
3,Old Second Bank $200 Checking Bonus,https://www.doctorofcredit.com/il-only-old-second-bank-200-checking-bonus/,"Maximum bonus amount: $200
Availability:Must be a resident of Illinois
Direct deposit required: Yes, complete 2 or more direct deposits totaling $500 or more
Additional requirements: See below
Hard/soft pull: Soft pull
ChexSystems: Unknown
Credit card funding: None
Monthly fees: $3.95, waivable
Early account termination fee: $25, 90 days
Household limit: One
Expiration date: April 30th, 2020","Old Second Bank is offering a $200 checking bonus. Bonus is broken down as follows:
Get $50 when you – Open a new checking account online with promo code EM2 (or open in-branch and mention this ad), get a debit card, and enroll in eStatements.
Get $100 when you meet the previous requirement and – Complete 2 or more direct deposits totaling $500 or more
Get another $50 when you meet the requirements for the first $50 bonus, and – Open a Money Builder Savings account","Money connection account has a $3.95 fee if you opt for paper statements, this is waived with paperless statements enabled.According to this comment there is an early account termination fee of $25 if closed within 90 days.Bigger than the previous $150 bonus, but this one also requires opening a money market account. You also get $50 for opening the checking account, whereas the previous offer was $100 so that was the better offer for people that didn’t want to do the direct deposit requirement. I’ll still be adding this to our list of the best checking account bonuses.Hat tip to reader TDUseful posts regarding bank bonuses:"
4,BBVA $400 Checking Bonus + $50 Savings Bonus & In Branch,https://www.doctorofcredit.com/bbva-400-checking-bonus-50-savings-bonus-available-via-phone-in-branch/,"Maximum bonus amount: $450
Availability: Nationwide (I think). Fine print does say only available in ‘California, Colorado, Arizona & New Mexico’, not sure how this works on phone openings
Direct deposit required: Yes, $2,500+
Additional requirements: Use promo code
Hard/soft pull: Soft
ChexSystems: Unknown
Credit card funding: Normally $500 per account, but not sure how it works in branch or via phone
Monthly fees: None
Early account termination fee: One year, bonus forfeit
Household limit: None
Expiration date: February 10th, 2020","BBVA Compass is offering a checking bonus of $400 when you complete the following requirements:
Either call in (1844-BBVA-USA) or visit a branch and use the promo code WESTWB2020
Receive a direct deposit of at least $2,500 by April 30th, 2020 (if you receive a direct deposit of $500 – $2,499.99 you’ll receive a bonus of $50)
You can also get a $50 savings bonus when you open a new qualifiyng savings account and have a balance of at least $500 on April 30th, 2020","If you live in AL, AZ, CA, CO, FL NM or TX then the best account to open is the BBVA Compass ClearChoice Free Checking as this has no monthly fees to worry about. Otherwise open the Clearconnect checking account which also has no monthly fees to worry about. There is a $3 fee on ClearConnect for paper statements, so make sure you opt for paperless statements.ClearChoice Saving: has a $15 quarterly fee if the balance falls below $500. ClearConnect Saving has no monthly fees.Account needs to be kept open for one year or bonus is forfeitThis is much better than the $200 + $50 bonus that is also available. Not sure how difficult it is to open via phone, but definitely think this is a bonus worth doing if you’re eligible (not eligible if you’ve had a BBVA account opened in the last 12 months). Not much time left, but I’ll be adding this to our best checking account bonus page.Hat tip to reader Alan"
5,Excite Credit Union $100 Checking/Savings Bonus,https://www.doctorofcredit.com/ca-nc-excite-credit-union-100-checking-savings-bonus/,"Maximum bonus amount: $100
Availability: Must live, work or worship in one of the following counties: Alameda, Monterey, San Francisco, Santa Clara, Santa Cruz, San Mateo all in CA or Brunswick, New Hanover & Pender county in NC
Direct deposit required: None
Additional requirements: None
Hard/soft pull: Soft pull
ChexSystems: Unknown
Credit card funding: Can fund up to $2,500 with a Visa or Mastercard
Monthly fees: None
Early account termination fee: None
Household limit: None listed
Expiration date: None listed","Excite Credit Union is offering bonuses of up to $100 when you use promo code 100BUCKS:
$50 when you open a GO savings account
$50 when you open a GO checking account","Neither of these accounts has a monthly fee to worry aboutI wasn’t able to find a fee schedule so unsure if an EATF is charged or notDoesn’t look like there are any requirements to trigger either bonus. Not sure if it’s a hard/soft pull and if you can fund with a credit card or not. Go savings account also earns 5% APY, but looks like it has a number of requirements to earn that rate.Useful posts regarding bank bonuses:"
6,South State Bank $200 Checking Bonus ,https://www.doctorofcredit.com/ga-nc-sc-south-state-bank-100-checking-bonus-direct-deposit-not-required/,"Maximum bonus amount: $200
Availability: Georgia, North Carolina, and South Carolina. Need to live near a branch according to this comment [Branch locator]
Direct deposit required: Direct deposit or automatic draft of at least $25
Additional requirements: Yes, 15 debit card transactions
Hard/soft pull: Soft pull
ChexSystems: Unknown
Credit card funding: Up to $1,000
Monthly fees: $8, avoidable
Early account termination fee: None
Household limit: None mentioned
Expiration date: September 29th, 2017 November 30th, 2017 May 31st, 2018 July 31st, 2018 November 30th, 2019","South State Bank is offering a $200 checking bonus when you meet the following requirements within 60 days of account opening:
Use promo code GET200
Have total qualifying direct deposits of $250 OR monthly automatic draft of $25
Make a minimum of 15 debit card purchases or payments","This account has no monthly fees when you enroll in eStatementsThis is the easiest account to keep fee free fr most people. It has a $8 monthly fee that is waived if you do any of the following:I didn’t find any mention of any early account termination fee in the fee schedule.Reasonably good deal as no direct deposit is required, obviously not the biggest bank account bonus but still worth doing if you’ve done the more lucrative bonuses. As always if you have any experiences with this bank or bonus then please share them in the comments below.Useful posts regarding bank bonuses:"
7,Citadel Bank $300 Checking Bonus,https://www.doctorofcredit.com/pa-citadel-bank-300-checking-bonus-100-savings/,"Maximum bonus amount: $400
Availability: Must live, work, worship, or study in Bucks, Chester, Delaware, Montgomery, or Philadelphia Counties, or the city of Lancaster, PA or if  a member of your family or household is already a customer, no matter where you live.
Direct deposit required: $500+
Additional requirements: See below
Hard/soft pull: Soft
ChexSystems: Unknown
Credit card funding: Up to $500
Monthly fees: None
Early account termination fee:
Household limit: One per lifetime
Expiration date: July 21st, 2018 September 15th, 2018 None listed March 16th, 2020","Citadel Bank is offering a bonus of up to $400 when you open a new checking. Bonus is broken down as follows:
Receive $300 when you receive a direct deposit of $500 or more within 60 days of account opening
Receive $100 when you open a Citadel High Yield Savings account (minimum balance of $10,000, also must be maintained for 30 days ) or Citadel credit card (minimum credit limit of $1,000)","They offer a free checking account with no monthly fees to worry about.Citadel bank does not charge any early account termination fees from what we could find.Opening a credit card will almost certainly result in a hard pull, so that isn’t worth doing. The high yield savings account earns 1.5% APY, so it isn’t worth keeping long term but it might make sense to open and keep funds in there for 30 days to trigger the $100 bonus. Previously they had a $250 checking bonus with no direct deposit requirement. Personally I’d take $50 less to not have to deal with the direct deposit requirement, but no gaurantees that bonus comes back and some people might prefer the extra $50. I do think this is worth doing if you live in an eligible area, so I’ll be adding this to our list of the best checking bonuses.Big thanks to reader, Z Nut who let us know. Learn how to find bonuses and contribute to the site here.Useful posts regarding bank bonuses:"
8,Fulton Bank $200 Checking Bonus ,https://www.doctorofcredit.com/de-dc-md-nj-pa-va-only-fulton-bank-200-checking-bonus-direct-deposit-not-required/,"Maximum bonus amount: $200
Availability: DE, MD, NJ, PA, DC & VA only. May need to live in one of the counties
Direct deposit required: Optional
Additional requirements: None
Hard/soft pull: Soft. Make sure to opt out of overdraft protection
ChexSystems: Yes.
Credit card funding: Up to $500
Monthly fees: None
Early account termination fee: None
Household limit: One (is enforced)
Expiration date: None Listed","Fulton Bank is offering a bonus of $200 when you open a new Simply Checking account and complete either of these requirements:
Set up a recurring direct deposit totaling $250 or more OR
Make 15 debit card purchases within 60 days","Simply checking has no monthly fees to worry aboutI can find no references to an early account termination fee on their website.Previous best bonus was $150. This is an extra $50 for the same requirements. Definitely think this is worth doing if you live in a targeted area, I’ll be adding this to our list of the best checking account bonuses.Useful posts regarding bank bonuses:"
9,Teachers Credit Union $200 Checking Bonus,https://www.doctorofcredit.com/in-mi-teachers-credit-union-200-checking-bonus/,"Maximum bonus amount: $200
Availability: Must live or work in one of the following counties:
Michigan: Berrien & Cass
Indiana: Lots, view here.
Direct deposit required: Yes, $500+
Additional requirements: Use promo code 200
Hard/soft pull: Unknown
ChexSystems: Unknown
Credit card funding: Can fund up to $2,500 with a Visa or Mastercard
Monthly fees: None with eStatements
Early account termination fee: None
Household limit: None
Expiration date: March 20th, 2020","Teachers Credit Union is offering a bonus of $200 when you open a new checking account and complete the following requirements:
Use promo code 200
Set up $500 or more in monthly direct deposits. First $500 in monthly direct deposits must post to account by May 15th, 2020",There is a $7 membership feeAdvantage checking has no monthly fee as long as you opt in for eStatementsI wasn’t able to find a fee schedule so I’m unsure if there is an early account termination fee or notThis account also earns a 0.5% rebate on any non-PIN purchase up to $500 per calendar year (minimum redemption is $30). Seems like a good deal if it’s a soft pull. If anybody signs up for the account then please share your experiences in the comments below.Useful posts regarding bank bonuses:
