,title,post_link
0,Chesapeake Bank $100 Savings Bonus ,https://www.doctorofcredit.com/va-only-chesapeake-bank-100-checking-bonus-no-requirements/
1,Arsenal Credit Union $100 Checking Bonus ,https://www.doctorofcredit.com/mo-only-arsenal-credit-union-100-checking-bonus-no-direct-deposit-required/
2,The Cooperative Bank $200 Checking Bonus,https://www.doctorofcredit.com/ma-only-the-cooperative-bank-200-checking-bonus/
3,Old Second Bank $200 Checking Bonus,https://www.doctorofcredit.com/il-only-old-second-bank-200-checking-bonus/
4,BBVA $400 Checking Bonus + $50 Savings Bonus & In Branch,https://www.doctorofcredit.com/bbva-400-checking-bonus-50-savings-bonus-available-via-phone-in-branch/
5,Excite Credit Union $100 Checking/Savings Bonus,https://www.doctorofcredit.com/ca-nc-excite-credit-union-100-checking-savings-bonus/
6,South State Bank $200 Checking Bonus ,https://www.doctorofcredit.com/ga-nc-sc-south-state-bank-100-checking-bonus-direct-deposit-not-required/
7,Citadel Bank $300 Checking Bonus,https://www.doctorofcredit.com/pa-citadel-bank-300-checking-bonus-100-savings/
8,Fulton Bank $200 Checking Bonus ,https://www.doctorofcredit.com/de-dc-md-nj-pa-va-only-fulton-bank-200-checking-bonus-direct-deposit-not-required/
9,Teachers Credit Union $200 Checking Bonus,https://www.doctorofcredit.com/in-mi-teachers-credit-union-200-checking-bonus/
10,Bank OZK $250 Checking Bonus,https://www.doctorofcredit.com/al-ar-ca-fl-ga-ms-nc-ny-sc-tn-tx-in-branch-ymmv-only-bank-ozk-250-checking-bonus/
11,Hancock Whitney Bank $300 Checking Bonus,https://www.doctorofcredit.com/la-ms-fl-al-tx-hancock-whitney-bank-300-checking-bonus/
12,Bar Harbor Bank & Trust $100 Checking Bonus,https://www.doctorofcredit.com/me-nh-in-branch-only-bar-harbor-bank-trust-100-checking-bonus/
13,Credit Union of Texas $250 Checking Bonus,https://www.doctorofcredit.com/tx-credit-union-texas-250-checking-bonus/
14,"BrightStar Credit Union  $100 Checking Promotion, No Direct Deposit Requirement",https://www.doctorofcredit.com/fl-only-brightstar-credit-union-bscu-100-checking-promotion-no-direct-deposit-requirement/
15,American Eagle Financial Credit Union $100 Checking Bonus,https://www.doctorofcredit.com/ct-american-eagle-financial-credit-union-100-checking-bonus-2/
16,BBVA $200 Checking & $50 Savings Bonus & Nationwide,https://www.doctorofcredit.com/bbva-compass-200-checking-50-savings-bonus-nationwide-available-online-2/
17,HSBC $700 Checking Bonus ,https://www.doctorofcredit.com/hsbc-700-checking-bonus-direct-deposit-is-required/
18,North Shore Bank $300 Checking Bonus ,https://www.doctorofcredit.com/wi-il-only-north-shore-bank-300-checking-bonus-direct-deposit-optional/
19,Seacoast Bank $350 Checking & $150 Savings Bonus,https://www.doctorofcredit.com/fl-in-branch-only-seacoast-bank-350-checking-150-savings-bonus/
20,Incredible Bank $102 Checking Bonus ,https://www.doctorofcredit.com/incredible-bank-102-checking-bonus-available-nationwide/
21,Chase Checking $5 Autosave Bonus By Saving $30,https://www.doctorofcredit.com/chase-checking-5-autosave-bonus-by-saving-30/
22,"Marcus $100 Bonus for New & *Existing* Savings Customers with $10,000 Deposit ",https://www.doctorofcredit.com/marcus-100-bonus-for-new-existing-savings-customers-with-10000-deposit-1-70-apy/
23,Bank Of The West $250 Checking Bonus ,https://www.doctorofcredit.com/bank-of-the-west-250-checking-bonus-az-ca-co-id-ia-ks-mn-mo-ne-nv-nm-nd-ok-or-sd-ut-wa-wi-wy/
24,CIT Bank $100/$200 Savings Bonus + 1.8% APY & Existing Customers ,https://www.doctorofcredit.com/cit-bank-100-200-savings-bonus-1-8-apy-new-existing-customers-25000-50000-deposit-required-for-90-days/
